"每 N 个骨骼添加一个唇部主骨骼。\n如果设置为 1：无主骨骼，最小值为 2","Add a lip master bone every Nth bone.\nIf set to 1: no masters, minimum is 2"
"唇形大师线性","Lips Masters Linear"
"0 = 使用母版拖动嘴唇骨骼时进行曲线插值，1 = 线性","0 = curved interpolation when dragging lips bones with masters, 1 = linear"
"唇部滚动约束","Lips Roll Constraints"
"添加嘴唇滚动约束，这样当移动滚动控制器时嘴唇会自动旋转\n禁用它意味着使用形状键，或者根本不需要嘴唇滚动","Add lips roll constraints, so that lips automatically rotate when moving roll controllers\nDisabling it implies to use shape keys instead, or no need for lips roll at all"
"唇部滚动速度","Lips Roll Speed"
"移动控制器时调整滚动运动速度的因素","Factor to adjust the speed of the roll motion when moving the controller"
"钳口速度计","Jaw Speed Fac"
"移动钳口控制器时调整钳口旋转速度的因素","Factor to adjust the jaw rotation speed when moving the jaw controller"
"-1 = 非常弯曲的插值，0 = 弯曲，1 = 线性\n在 Y 轴（上下）上移动嘴角时应用于唇骨","-1 = Very curved interpolation, 0 = Curved, 1 = Linear\nApplied to lips bones when moving the lips corners on Y axis (up-down)"
"-1 = 非常弯曲的插值，0 = 弯曲，1 = 线性\n在 Z 轴（侧面）上移动嘴角时应用于唇骨","-1 = Very curved interpolation, 0 = Curved, 1 = Linear\nApplied to lips bones when moving the lips corners on Z axis (side)"
"-1 = 额外曲线插值，0 = 曲线，1 = 线性，在移动下颌时应用于其他唇骨","-1 = extra curved interpolation, 0 = curved, 1 = linear, applied to other lip bones when moving the jaw"
"将柔和嘴唇效果限制在嘴角（Corners）附近的指定范围内。\n例如：如果设置为 4，则只有嘴角附近的 4 块嘴唇骨骼会柔和变形。\n0 = 无限制","Limit the Soft Lips effect to a specified range near the lips corners (Corners).\nE.g: If set to 4, only the 4 lips bones near the corners will deform softly.\n0 = no limits"
"将柔和嘴唇效果限制在嘴角（下颌）附近的特定范围内。\n例如：如果设置为 4，则只有嘴角附近的 4 块唇骨会柔和变形。\n0 = 无限制","Limit the Soft Lips effect to a specified range near the lips corners (Jaw).\nE.g: If set to 4, only the 4 lips bones near the corners will deform softly.\n0 = no limits"
"更新嘴唇变换","Update Lips Transforms"
"强制更新现有嘴唇变换、网格对齐。\n 添加的新骨骼将始终与网格对齐","Force update of existing lips transforms, grid alignment.\nNew bones added will always be grid-aligned"
"嘴唇骨骼将模拟张开下巴和移动嘴角时的弹性","Lips bones will simulate elasticity when opening the jaw, and moving lips corners"
"柔软嘴唇的效果仅仅是视觉上的，它赢了","The Soft Lips effect will be only visual, it won"
"如果启用，当下颌抬起时，上唇将与下唇相撞","The upper lips will collide with the lower lips when the jaw is raising, if enabled"
"下唇与上唇碰撞的偏移距离","Offset distance at which the lower lips will collide with the upper lips"
"添加嘴唇偏移控制器，一次性移动所有嘴唇骨骼","Add a lips offset controller to shift all lips bones at once"
"使用旋转而不是位置来张开下颌","Use rotation instead of location to open the jaw"
"分离下颌位置（移动下颌控制器时可以移动枢轴点）","Separate the jaw location (the pivot point can be moved when moving the jaw controller)"
"启用嘴部控制器","Enable the mouth controllers"
"启用牙齿控制器","Enable the teeth controllers"
"启用舌头控制器","Enable the tongue controllers"
"启用下巴控制器","Enable the chin controllers"
"启用鼻子控制器","Enable the nose controllers"
"启用颧骨","Enable cheek bones"
"为手指添加 IK 控制，带有 IK-FK 开关和捕捉设置","Add IK controls for fingers, with IK-FK switch and snap settings"
"手指 IK 目标（指尖）默认形状","Fingers IK target (tip) default shape"
"颜色","Color"
"IK 控制器的颜色（提示）","Color of IK controllers (tip)"
"手指 IK 目标（根）默认形状","Fingers IK target (root) default shape"
"IK（根）控制器的颜色","Color of IK (root) controllers"
"IK 目标父骨骼。\n也可以通过添加更多 ChildOf 约束进行用户定义","IK target parent bone.\nCan also be user-defined by adding more ChildOf constraints"
"IK极父骨","IK pole parent bone"
"手指 IK 极默认形状","Fingers IK pole default shape"
"IK 极控制器的颜色","Color of IK pole controllers"
"IK极与手指的距离","IK pole distance from fingers"
"IK 极距肘部的距离","IK Pole distance from the elbow"
"每根骨骼（手臂、前臂）的扭曲骨骼数量。\n如果辅助控制器是弯曲骨骼，则禁用","Number of twist bones per bone (arm, forearm).\nDisabled if secondary controllers are Bendy Bones"
"如果为 true，则弯曲骨骼的 Ease Out 属性由辅助控制器驱动","The Ease Out property of the bendy-bones is driven by secondary controllers if true"
"在 FK 模式中添加 Arm Lock 设置，以切换手臂父空间","Add an Arm Lock setting in FK mode to switch the arm parent space"
"臂 IK-FK 默认开关值","Arm IK-FK default switch value"
"IK-FK 默认","IK-FK Default"
"软 IK","Soft IK"
"启用软 IK 链以获得更平滑的结果，避免肘部典型的 IK 弹出效果\n警告，即使未应用拉伸也会导致轻微拉伸","Enables Soft IK chains for smoother results, to avoid typical IK pop effect of the elbow\nWarning, leads to slight stretch even when there is no stretch applied"
"自动 IK 滚动","Auto IK Roll"
"自动对齐 IK 骨骼轴，以实现连贯的旋转轴和完美排列的 IK 极","Automatically align IK bones axes for coherent rotation axes and perfectly lined up IK pole"
"手臂半骨","Arm Half Bones"
"添加肘部和手腕骨骼以达到最佳体积保存效果","Add elbow and wrist bones for optimal volume preservation"
"肘部半骨","Elbow Half Bones"
"添加肘部半骨，以在肘部外部区域实现最佳体积保存","Add elbow half bones for optimal volume preservation in the elbow outter area"
"添加肘部半骨，以在肘部内侧区域保持最佳体积","Add elbow half bones for optimal volume preservation in the elbow inner area"
"腕骨","Wrist Half Bones"
"添加腕骨，以在腕部外部区域实现最佳体积保存","Add wrist half bones for optimal volume preservation in the wrist outter area"
"添加半腕骨，以在腕部内侧区域实现最佳体积保存","Add wrist half bones for optimal volume preservation in the wrist inner area"
"关注次要","Follow Secondaries"
"如果启用，风扇骨骼将跟随辅助控制器，并且如果辅助控制器 = 扭曲","The fan bones will follow secondary controllers if enabled, and if Secondary Controllers = Twist"
"添加额外的 IK 手偏移控制器","Add an additional IK hand offset controller"
"启用羽毛骨","Enable feather bones"
"手臂骨骼上的羽毛数量","Number of feathers along the arm bone"
"前臂骨上的羽毛数量","Number of feathers along the forearm bone"
"手骨上的羽毛数量","Number of feathers along the hand bone"
"如果有多个羽毛相互叠放，则每根羽毛的骨骼层数","Number of bones layer, per feather, in case of multiple feathers on top of each other"
"每根羽毛的骨头数量，以使羽毛弯曲","Number of bones per feather in order to curve the feather"
"单击“确定”按钮（网格对齐）时更新现有的参考羽毛骨骼变换。\n如果禁用，则现有羽毛将获胜","Update existing reference feather bones transforms when clicking the OK button (grid align).\nIf disabled, existing feathers won"
"父羽毛层。如果禁用，羽毛层将独立移动。","Parent feathers layers. If disabled, feather layers move independently."
"添加一个控制器，通过缩放来折叠手臂和羽毛。\n需要包含以下内容的操作","Add a controller to fold the arms and feathers by scaling it.\nRequires an action containing "
"腿部有 3 根骨骼，而不是 2 根，在根部添加一根骨骼。\nIK 链中可以使用 2 根或 3 根骨骼，使用","3 bones leg instead of 2, one bone is added at the root.\n2 or 3 bones can be used in the IK chain,  using the "
"类型 1 是前 3 个骨骼腿部实现，链顶部有一个 IK 控制器。\n类型 2 是最新实现，小腿骨骼有一个 IK 控制器","Type 1 is the first 3 bones leg implementation, with an IK controller at the top of the chain.\nType 2 is the latest implementation, with an IK controller for the calf bone"
"IK 调整控制器","IK Tweak Controller"
"定义 IK 极点位置的高度","Defines the height of the IK pole position"
"除默认 FK 之外，还添加 IK 控制器","Add IK controllers in addition to default FK"
"设置脚趾 IK 极点位置与脚趾之间的距离","Distance setting the toes IK pole positions away from the toes"
"脚趾IK-FK默认开关值","Toes IK-FK default switch value"
"脚趾 IK 目标将跟随跖骨\n旋转 c_foot_01 时可能会导致问题","The toes IK target will follow the metatarsal bones\nCan lead to issues when rotating c_foot_01"
"添加跖骨。如果启用 IK-FK，则始终启用","Add metatarsal bones. Always enabled if IK-FK is enabled"
"将脚趾作为脚的父级，而不是默认的全局脚趾骨骼。\n可能对 IK 脚趾有用","Parent toes to foot, instead of the default global toe bone.\nMaybe useful with IK toes"
"添加一个控制器，从脚趾枢轴点旋转 IK 脚","Add a controller to rotate the IK foot from the toes pivot point"
"添加 IK 偏移控制器，提供另一层控制","Add an IK offset controller, offering another layer of control"
"IK 极点与膝盖的距离","IK Pole distance from the knee"
"每根骨骼（大腿、小腿）的扭曲骨骼数量。\n如果辅助控制器是 Bendy Bones，则禁用","Number of twist bones per bone (thigh, leg).\nDisabled if secondary controllers are Bendy Bones"
"距离","Distance of the "
"foot_roll_cursor 运动的速度/因子","Speed/factor for the foot_roll_cursor motion"
"LEG IK-FK默认开关值","LEG IK-FK default switch value"
"启用软 IK 链以获得更平滑的结果，避免膝盖的典型 IK 弹出效果\n警告，即使没有应用拉伸也会导致轻微拉伸","Enables Soft IK chains for smoother results, to avoid typical IK pop effect of the knee\nWarning, leads to slight stretch even when there is no stretch applied"
"在 FK 模式中添加大腿锁定设置，以切换腿部父空间","Add a Thigh Lock setting in FK mode to switch the leg parent space"
"腿半骨","Leg Half Bones"
"添加膝盖骨以达到最佳体积保存效果","Add knee bones for optimal volume preservation"
"大腿肉半块带骨","Thigh Half Bones In"
"添加大腿半骨，以最佳地保存腹股沟区域的体积","Add thigh half bones for optimal volume preservation in the groin area"
"大腿骨去掉一半","Thigh Half Bones Out"
"添加大腿半骨，以最大程度地保留臀部区域的体积","Add thigh half bones for optimal volume preservation in the buttock area"
"膝盖半骨突出","Knee Half Bones Out"
"添加膝盖半骨，以在膝盖外侧区域实现最佳体积保存","Add knee half bones for optimal volume preservation in the knee outter area"
"膝盖半骨","Knee Half Bones In"
"添加膝盖半骨，以最大程度地保留膝盖内侧区域的体积","Add knee half bones for optimal volume preservation in the knee inner area"
"添加底部控制器","Add bottom controllers"
"Match to Rig 时对齐 c_root_master 骨骼，否则让它手动调整","Align the c_root_master bone when Match to Rig, otherwise let it be for manual adjustment"
"添加脊柱主控制器，同时旋转和移动所有脊柱骨骼","Add a spine master controller to rotate and move all spine bones at once"
"Spine 主约束空间","Spine Master Constraints Space"
"脊柱主约束使用的空间设置","Space setting used by the spine master constraints"
"移动脊柱主控时添加自动拉伸和挤压","Add automatic stretch and squash when moving the spine master"
"IK 样条线肢体的类型","Type of the IK Spline limb"
"IK 样条线类型","IK Spline Type"
"骨骼数量","Number of bones"
"每 N 个骨骼添加一个样条主控制器","Add a spline master controller every Nth bone"
"主控制器之间的样条顶点的权重插值类型","Type of weight interpolation for spline vertices in-between master controllers"
"插值类型","Interpolation Type"
"每根骨骼的弯曲骨骼数量，可获得更平滑的效果。\n注意：弯曲骨骼不符合出口要求，出口时请将其保留为 0","Number of bendy bones per bone for a smoother result.\nNote: Bendy-Bones are not export compliant, keep it to 0 for export"
"骨骼范围","Bone range"
"曲线平滑度。如果曲线形状太平滑，请减小此值","Curve smoothness. Decrease this value if the curve shape is too smooth"
"链中主控制器的父级","Parent of the master controllers of the chain"
"家长大师","Parent Master"
"链中最后一个控制器的父级","Parent of the last controller of the chain"
"父级最后","Parent Last"
"链的 c_spline_tip 控制器的父级","Parent of c_spline_tip controller of the chain"
"父级 主级 末级","Parent Master Last"
"如果另一个肢体与最后一个样条线参考骨骼关联，则在匹配到装备后将其关联到以下肢体","If another limb is parented to the last spline ref bone, then parent it to the following after Match to Rig"
"边","Side"
"样条线 IK 肢体的一侧：左、右或中","Side of the spline IK limb: left, right or middle"
"样条骨骼名称","Spline bones names"
"启用或禁用蒙皮影响。当在其上手动创建额外的控制器时，禁用可能会很有用","Enable or disable skinning influence. Disabling may be useful when creating manually extra controllers on top of it"
"单击“确定”按钮时更新参考骨骼变换。\n如果骨骼数量发生变化，则变换始终会更新","Update reference bones transforms when clicking the OK button.\nIf the bone count has changed, transforms are always updated"
"添加 FK 链，带有 IK-FK 开关","Add an FK chain too, with and IK-FK switch"
"每 N 个骨骼添加一个 FK 主控制器。\n1 = 无主控制器","Add an FK master controller every Nth bone.\n1 = No masters"
"保持 FK 和 IK 主控的数量相同，以实现正确的 IK-FK 捕捉","Keep the count of FK and IK masters identical, for correct IK-FK snap"
"FK 主同步","FK masters sync"
"自动重命名由此骨架变形的网格顶点组","Rename automatically the vertex groups of meshes deformed by this armature"
"添加扭曲骨骼，当给定的目标骨骼扭曲时，该骨骼会自动扭曲。\n适用于长脖子或类似的四肢","Add twist bones, that twist automatically when the given target bone is twisting.\nUseful for long necks or similar limbs"
"用作扭曲目标的骨骼。如果未设置有效骨骼，则扭曲将自动关闭\n（对于长脖子，即头部骨骼）","Bone used as a twisting target. Twist will be turned off automatically if no valid bone is set\n(In case of a long neck, that is the head bone)"
"扭曲目标骨骼，用作扭曲其他样条骨骼的参考","The twist target bone that is used as reference to twist other spline bones"
"弯曲骨骼数量","Number of bendy-bones"
"每根骨骼的弯曲骨骼段数","Number of bendy-bones segments per bone"
"弯曲骨骼肢体的一侧：左侧、右侧或中间","Side of the bendy-bones limb: left, right or middle"
"弯曲的骨头名称","Bendy bones name"
"控制器形状的尺寸","Size of the controller shapes"
"根部主控制器","Master Controller at Root"
"将尾部主控制器定位在根部（第一根骨骼）","Position the tail master controller at the root (first bone)"
"尾数","Tail Count"
"尾骨数量","Number of tail bones"
"尾肢所在侧：左、右或中","Side of the tail limb: left, right or middle"
"更新变换","Update Transforms"
"更新骨骼变换（线性对齐）。如果尾部数量发生变化，则自动启用","Update bones transforms (aligned linearly). Enabled automatically if the tail count changed"
"弯曲骨头计数","Bendy Bones Count"
"设置弯曲骨骼数量。\n如果设置为 1，则无弯曲骨骼。导出到游戏引擎时将其保持为 1。","Set bendy-bones count.\nNo bendy-bones if set to 1. Keep it to 1 when exporting to game engines."
"跳过重置为默认设置的参数，在通过操作员或其他方式设置肢体时很有用","Parameter to skip reset to default settings, useful when setting limbs from operators or other means"
"每侧苏格兰裙数量","Kilt Count per Side"
"左右两侧圆形骨骼的数量。\n（总数 = 数量 x 2）","Number of circular bones per left and right side.\n(Total = Count x 2)"
"苏格兰短裙骨头的名称","Name for the kilt bones"
"腿（左）","Leg (left)"
"左大腿骨","Left thigh bone"
"腿（右）","Leg (right)"
"右大腿骨","Right thigh bone"
"与腿碰撞","Collide with Legs"
"通过添加高级约束和驱动程序来模拟与腿骨的碰撞","Simulate collisions with leg bones by adding advanced constraints and drivers"
"碰撞偏移","Collide Offset"
"碰撞时增加偏移量，通过时增加偏移量","Additional offset when colliding, increase if passing through"
"交互式碰撞偏移","Interactive Collision Offset"
"允许交互式修改碰撞距离，以便于调整，但可能会消耗更多的性能","Allow interactive modification of the collision distance for easier tweaking, but can be more performance consuming"
"细分","Subdiv"
"每列细分数","Number of subdivisions per column"
"细分参考骨骼","Subdivide Reference Bones"
"如果启用，参考骨骼也会被细分\n否则，每列只有一个参考骨骼","If enabled, reference bones are subdivided too\nOtherwise, only a single reference bone per column"
"Z 轴碰撞","Collide on Z"
"在 Z 轴上发生碰撞，有助于实现高角度旋转","Collide on Z axis too, can help with high degrees of rotation"
"保留形状","Preserve Shape"
"如果启用，则在计数值改变时保留现有参考骨骼形成的形状。\n否则，将骨骼对齐成完美的圆形","If enabled, preserve the shape formed by the existing reference bones, when the Count value is changed.\nOtherwise, align the bones in a perfect circle shape"
"苏格兰短裙大师","Kilt Masters"
"添加可以轻柔拖动其他控制器的主控制器","Add masters controllers that will drag other controllers softly"
"苏格兰短裙大师频率","Kilt Masters Frequency"
"每 N 个骨骼（列）添加主控制器","Add master controllers every Nth bone (columns)"
"苏格兰短裙大师 (行)","Kilt Masters (row)"
"为每行/分区添加圆形主控制器","Add circular master controllers for each row/subdivision"
"基本控制器形状应显示在哪里","Where the base controllers shape should be displayed"
"控制器形状比例","Controller shape scale"
"控制器形状应显示在哪里","Where the controllers shape should be displayed"
"样条函数","spline"
"骨头","bbones"
"苏格兰短裙","kilt"
"数数","Count"
"Spine 主控制器","Spine Master Controller"
"空间","Space"
"拉伸和挤压","Stretch and Squash"
"底部","Bottom"
"对齐根主控","Align Root Master"
"弯曲骨头计数","Bendy-Bones Count"
"扭骨","Twist Bones"
"弯曲的骨头","Bendy Bones"
"头骨","Skulls"
"对齐头骨","Align Skulls"
"面部的","Facial"
"眉毛右","Eyebrow Right"
"眉毛左","Eyebrow Left"
"眉毛大师","Eyebrow Masters"
"柔和的眉毛","Soft Eyebrows"
"线性 (Linear)","Linear"
"软硬结合","Soft-Rigid"
"右眼","Eye Right"
"左眼","Eye Left"
"眼睑调整控制器","Eyelids Tweak Controllers"
"眼睑量","Eyelids Amount"
"Eyel. Masters 频率","Eyel. Masters Freq"
"线性（硕士）","Linear (Masters)"
"眼睛目标距离","Eye Targets Distance"
"对齐眼睑","Align Eyelids"
"眼睑加速器","Eyelid Speed Fac"
"鼻子","Nose"
"脸颊","Cheeks"
"下巴","Chins"
"嘴","Mouth"
"唇部偏移控制器","Lips Offset Controller"
"高级设置已锁定：已启用 Legacy Soft Lips，","Advanced settings are locked: Legacy Soft Lips is enabled, "
"唇部大师频率","Lips Masters Freq"
"柔软的嘴唇","Soft Lips"
"线性 Y","Linear Y"
"线性 Z","Linear Z"
"限制（角落）","Limit (Corners)"
"线性（颚式）","Linear (Jaw)"
"限制（下颌）","Limit (Jaw)"
"柔软的嘴唇：仅视觉","Soft Lips: Visual Only"
"嘴唇黏糊糊","Sticky Lips"
"粘性唇部偏移","Sticky Lips Offset"
"牙齿","Teeth"
"舌头","Tongue"
"实验：","Experimental:"
"旋转下颌","Rotate Jaw"
"分离颌骨位置","Separate Jaw Location"
"FK 无锁臂","Arm FK Lock-Free"
"IK 极距离","IK Pole Distance"
"驱动骨骼缓出","Drive Bbones Ease Out"
"IK-FK 默认值：","IK-FK Default:"
"腐烂的手指来自鳞片：","Rot. Fingers from Scale:"
"拇指从刻度处脱落：","Rot. Thumb from Scale:"
"手指形状：","Fingers Shapes:"
"手指：","Fingers:"
"拇指","Thumb"
"指数","Index"
"中间","Middle"
"戒指","Ring"
"Pinky","Pinky"
"手指 IK-FK","Fingers IK-FK"
"  IK 家长：","  IK Parent:"
"  极点父母：","  Pole Parent:"
"  IK 根形状：","  IK Root Shape:"
"  IK 尖端形状：","  IK Tip Shape:"
"  杆形：","  Pole Shape:"
"  IK 极距离","  IK Pole Distance"
"独立小指底座（实验性）","Independent Pinky Base (Experimental)"
"手部 IK 偏移控制器","Hand IK Offset Controller"
"关节风扇","Joints Fans"
"肘部内收","Elbow In"
"肘部向外","Elbow Out"
"手腕收紧","Wrist In"
"手腕向外","Wrist Out"
"翅膀","Wings"
"手臂羽毛","Arm Feathers"
"前臂羽毛","Forearm Feathers"
"手部羽毛","Hand Feathers"
"羽毛细分","Feather Subdivisions"
"羽毛层","Feather Layers"
"更新现有羽毛变换","Update Existing Feathers Transforms"
"父级羽毛层","Parent Feathers Layers"
"添加机翼折叠控制器","Add Wings Fold Controller"
"大腿 FK 无锁","Thigh FK Lock-Free"
"  IK-FK 默认值：","  IK-FK Default:"
"3 骨腿","3 Bones Leg"
"IK 极高度","IK Pole Height"
"脚部 IK 偏移控制器","Foot IK Offset Controller"
"脚趾：","Toes:"
"脚趾 IK-FK","Toes IK-FK"
"IK 极点分布","IK Pole Dist"
"脚趾 IK-FK 默认","Toes IK-FK Default"
"IK 目标跟随跖骨","IK Target Follow Metatarsal"
"脚趾跖骨","Toes Metatarsal"
"脚趾父母脚","Toes Parent Foot"
"脚趾枢轴控制器","Toes Pivot Controller"
"滚动光标距离","Roll Cursor Distance"
"滚动光标系数","Roll Cursor Factor"
"大腿内侧","Thigh In"
"大腿外翻","Thigh Out"
"膝盖内收","Knee In"
"膝盖外翻","Knee Out"
"类型","Type"
"IK 样条线数量","IK Spline Count"
"控制器频率","Controllers Frequency"
"插值","Interpolation"
"捻","Twist"
"目标","Target"
"自定义 Tar","Custom Tar"
"曲线平滑度","Curve Smoothness"
"最终控制器父级：","End Controller Parent:"
"c_spline_master 父级：","c_spline_master Parent:"
"c_spline_master 提示父级：","c_spline_master Tip Parent:"
"c_spline_tip 父级：","c_spline_tip Parent:"
"将外部骨骼设为：","Parent External Bone to:"
"姓名","Name"
"请删除","Please remove "
"IK-FK链条","IK-FK Chain"
"FK 控制器频率","FK Controllers Frequency"
"FK 和 IK 控制器频率的不同值","Different values for FK and IK Controllers Frequency"
"将破坏 FK->IK 捕捉","will break FK->IK snap"
"更新顶点组名称","Update Vertex Groups Name"
"变形","Deform"
"弯曲的骨骼部分","Bendy Bones Segments"
"控制器规模","Controllers Scale"
"计数（每侧）","Count (per side)"
"全部的：","Total: "
"主控制器（列）","Master Controllers (columns)"
"掌握频率","Masters Frequency"
"细分","Subdivisions"
"主控制器（行）","Master Controllers (row)"
"交互碰撞距离","Interactive Collision Distance"
"碰撞距离","Collision Distance"
"个人控制器：","Individual Controllers:"
"头尾","Head-Tail"
"规模","Scale"
